Frame,ID,Object,X,Y
0,12,person,775,79
0,11,person,777,106
0,10,person,1885,279
0,9,person,1359,52
0,8,person,383,128
0,7,person,1719,277
0,6,person,1633,221
0,5,person,176,263
0,4,person,1707,278
0,3,person,272,188
0,2,person,118,280
0,1,person,1129,749
1,12,person,775,79
1,11,person,777,106
1,10,person,1885,280
1,9,person,1359,52
1,8,person,383,128
1,7,person,1719,277
1,6,person,1633,221
1,5,person,176,263
1,4,person,1707,278
1,3,person,272,188
1,2,person,118,280
1,1,person,1129,749
2,12,person,775,79
2,11,person,777,106
2,10,person,1885,280
2,9,person,1359,52
2,8,person,383,128
2,7,person,1719,277
2,6,person,1633,221
2,5,person,176,263
2,4,person,1707,278
2,3,person,272,188
2,2,person,118,280
2,1,person,1129,749
3,12,person,775,80
3,11,person,777,105
3,10,person,1885,280
3,9,person,1359,52
3,8,person,383,128
3,7,person,1720,277
3,6,person,1633,221
3,5,person,176,263
3,4,person,1707,278
3,3,person,272,188
3,2,person,118,280
3,1,person,1128,750
4,12,person,776,87
4,11,person,777,105
4,10,person,1885,280
4,9,person,1359,52
4,8,person,383,128
4,7,person,1720,277
4,6,person,1634,220
4,5,person,176,263
4,4,person,1707,278
4,3,person,272,188
4,2,person,118,280
4,1,person,1126,750
5,12,person,776,90
5,11,person,777,105
5,10,person,1885,280
5,9,person,1359,52
5,8,person,383,128
5,7,person,1720,277
5,6,person,1634,220
5,5,person,176,263
5,4,person,1707,278
5,3,person,272,188
5,2,person,118,280
5,1,person,1125,750
6,11,person,777,105
6,10,person,1885,280
6,9,person,1359,52
6,8,person,383,128
6,7,person,1720,277
6,6,person,1634,220
6,5,person,176,263
6,4,person,1707,278
6,3,person,272,188
6,2,person,118,280
6,1,person,1125,750
7,11,person,777,105
7,10,person,1885,280
7,9,person,1359,52
7,8,person,383,128
7,7,person,1721,277
7,6,person,1636,220
7,5,person,176,263
7,4,person,1707,278
7,3,person,272,188
7,2,person,118,280
7,1,person,1124,750
8,11,person,777,105
8,10,person,1885,280
8,9,person,1359,52
8,8,person,383,128
8,7,person,1721,277
8,6,person,1636,220
8,5,person,176,263
8,4,person,1707,278
8,3,person,272,188
8,2,person,118,280
8,1,person,1123,750
9,11,person,777,105
9,10,person,1885,280
9,9,person,1359,52
9,8,person,383,128
9,7,person,1721,277
9,6,person,1637,220
9,5,person,176,263
9,4,person,1707,278
9,3,person,272,188
9,2,person,118,280
9,1,person,1121,750
10,11,person,777,105
10,10,person,1885,280
10,9,person,1359,52
10,8,person,383,128
10,7,person,1720,277
10,6,person,1636,220
10,5,person,176,263
10,4,person,1707,278
10,3,person,272,188
10,2,person,118,280
10,1,person,1120,750
11,11,person,777,105
11,10,person,1885,280
11,9,person,1359,52
11,8,person,383,128
11,7,person,1720,277
11,6,person,1636,220
11,5,person,176,263
11,4,person,1707,278
11,3,person,272,188
11,2,person,118,280
11,1,person,1120,750
12,11,person,777,105
12,10,person,1885,280
12,9,person,1359,52
12,8,person,383,128
12,7,person,1720,277
12,6,person,1636,220
12,5,person,176,263
12,4,person,1707,278
12,3,person,272,188
12,2,person,118,280
12,1,person,1119,750
13,11,person,777,105
13,10,person,1885,280
13,9,person,1359,52
13,8,person,383,128
13,7,person,1720,277
13,6,person,1636,220
13,5,person,176,263
13,4,person,1707,278
13,3,person,272,188
13,2,person,118,280
13,1,person,1118,750
14,11,person,777,105
14,10,person,1885,280
14,9,person,1359,52
14,8,person,383,128
14,7,person,1721,277
14,6,person,1637,219
14,5,person,176,263
14,4,person,1707,278
14,3,person,272,188
14,2,person,118,280
14,1,person,1117,751
15,11,person,777,105
15,10,person,1885,280
15,9,person,1359,52
15,8,person,383,128
15,7,person,1721,277
15,6,person,1636,220
15,5,person,176,263
15,4,person,1707,278
15,3,person,272,188
15,2,person,118,280
15,1,person,1117,751
16,13,person,776,85
16,11,person,777,105
16,10,person,1885,280
16,9,person,1359,52
16,8,person,383,128
16,7,person,1721,277
16,6,person,1636,220
16,5,person,176,263
16,4,person,1707,278
16,3,person,272,188
16,2,person,118,280
16,1,person,1116,751
17,13,person,776,84
17,11,person,776,105
17,10,person,1885,280
17,9,person,1359,52
17,8,person,383,128
17,7,person,1721,277
17,6,person,1636,220
17,5,person,176,263
17,4,person,1707,278
17,3,person,272,188
17,2,person,118,280
17,1,person,1116,751
18,13,person,776,85
18,11,person,776,105
18,10,person,1885,280
18,9,person,1359,52
18,8,person,383,128
18,7,person,1721,277
18,6,person,1636,220
18,5,person,176,263
18,4,person,1707,278
18,3,person,272,188
18,2,person,118,280
18,1,person,1116,751
19,13,person,775,83
19,11,person,776,105
19,10,person,1885,280
19,9,person,1359,52
19,8,person,383,128
19,7,person,1721,277
19,6,person,1636,220
19,5,person,176,263
19,4,person,1707,278
19,3,person,272,188
19,2,person,118,280
19,1,person,1115,751
20,13,person,775,82
20,11,person,776,105
20,10,person,1885,280
20,9,person,1359,52
20,8,person,383,128
20,7,person,1721,277
20,6,person,1636,220
20,5,person,176,263
20,4,person,1707,278
20,3,person,272,188
20,2,person,118,280
20,1,person,1115,751
21,13,person,775,81
21,11,person,776,105
21,10,person,1885,280
21,9,person,1359,52
21,8,person,383,128
21,7,person,1721,277
21,6,person,1635,220
21,5,person,176,263
21,4,person,1707,278
21,3,person,272,188
21,2,person,118,280
21,1,person,1114,751
22,13,person,775,80
22,11,person,776,105
22,10,person,1885,280
22,9,person,1359,52
22,8,person,383,128
22,7,person,1721,277
22,6,person,1635,220
22,5,person,176,263
22,4,person,1707,278
22,3,person,272,188
22,2,person,118,280
22,1,person,1114,751
23,13,person,775,80
23,11,person,776,105
23,10,person,1885,280
23,9,person,1359,52
23,8,person,383,128
23,7,person,1721,277
23,6,person,1635,220
23,5,person,176,263
23,4,person,1707,278
23,3,person,272,188
23,2,person,118,280
23,1,person,1112,752
24,13,person,775,81
24,11,person,776,105
24,10,person,1885,280
24,9,person,1359,52
24,8,person,383,128
24,7,person,1721,277
24,6,person,1635,220
24,5,person,176,263
24,4,person,1707,278
24,3,person,272,188
24,2,person,118,280
24,1,person,1112,752
25,13,person,775,81
25,11,person,776,105
25,10,person,1885,280
25,9,person,1359,52
25,8,person,383,128
25,7,person,1721,277
25,6,person,1634,220
25,5,person,176,263
25,4,person,1707,278
25,3,person,272,188
25,2,person,118,280
25,1,person,1112,752
26,13,person,775,81
26,11,person,776,105
26,10,person,1885,280
26,9,person,1359,52
26,8,person,383,128
26,7,person,1721,277
26,6,person,1634,220
26,5,person,176,263
26,4,person,1707,278
26,3,person,272,188
26,2,person,118,280
26,1,person,1112,752
27,14,person,1655,217
27,13,person,775,88
27,11,person,776,105
27,10,person,1885,280
27,9,person,1359,52
27,8,person,383,128
27,7,person,1721,277
27,6,person,1633,220
27,5,person,176,263
27,4,person,1707,278
27,3,person,272,188
27,2,person,118,280
27,1,person,1111,753
28,14,person,1655,217
28,13,person,775,87
28,11,person,776,104
28,10,person,1885,280
28,9,person,1359,52
28,8,person,383,128
28,7,person,1721,277
28,6,person,1633,220
28,5,person,176,263
28,4,person,1707,278
28,3,person,272,188
28,2,person,118,280
28,1,person,1111,753
29,14,person,1655,217
29,13,person,775,85
29,11,person,776,104
29,10,person,1885,280
29,9,person,1359,52
29,8,person,383,128
29,7,person,1721,277
29,6,person,1633,220
29,5,person,176,263
29,4,person,1707,278
29,3,person,272,188
29,2,person,118,280
29,1,person,1110,754
30,14,person,1655,218
30,13,person,775,84
30,11,person,776,104
30,10,person,1885,280
30,9,person,1359,52
30,8,person,383,128
30,7,person,1722,277
30,6,person,1633,220
30,5,person,176,263
30,4,person,1707,278
30,3,person,272,188
30,2,person,118,280
30,1,person,1110,754
31,14,person,1655,217
31,13,person,775,88
31,11,person,776,104
31,10,person,1885,280
31,9,person,1359,52
31,8,person,383,128
31,7,person,1722,277
31,6,person,1633,220
31,5,person,176,263
31,4,person,1707,278
31,3,person,272,188
31,2,person,118,280
31,1,person,1110,754
32,13,person,774,89
32,11,person,776,104
32,10,person,1885,280
32,9,person,1359,52
32,8,person,383,128
32,7,person,1723,277
32,6,person,1635,220
32,5,person,176,263
32,4,person,1707,278
32,3,person,272,188
32,2,person,118,280
32,1,person,1110,755
33,13,person,775,83
33,11,person,775,105
33,10,person,1885,279
33,9,person,1359,52
33,8,person,383,128
33,7,person,1723,277
33,6,person,1637,220
33,5,person,176,262
33,4,person,1707,278
33,3,person,272,188
33,2,person,118,280
33,1,person,1110,755
34,13,person,775,81
34,11,person,775,104
34,10,person,1885,279
34,9,person,1359,52
34,8,person,383,128
34,7,person,1723,277
34,6,person,1637,220
34,5,person,176,262
34,4,person,1707,278
34,3,person,272,188
34,2,person,118,280
34,1,person,1110,755
35,13,person,775,81
35,11,person,775,104
35,10,person,1885,279
35,9,person,1359,52
35,8,person,383,128
35,7,person,1719,277
35,6,person,1638,220
35,5,person,176,262
35,4,person,1707,278
35,3,person,272,188
35,2,person,118,280
35,1,person,1111,755
36,13,person,774,87
36,11,person,775,104
36,10,person,1885,279
36,9,person,1359,52
36,8,person,383,129
36,7,person,1717,276
36,6,person,1639,220
36,5,person,176,261
36,4,person,1707,278
36,3,person,272,188
36,2,person,119,280
36,1,person,1111,755
37,13,person,774,88
37,11,person,776,104
37,10,person,1885,280
37,9,person,1359,52
37,8,person,383,129
37,7,person,1716,275
37,6,person,1637,220
37,5,person,176,261
37,4,person,1707,278
37,3,person,272,188
37,2,person,119,280
37,1,person,1111,755
38,13,person,775,82
38,11,person,776,105
38,10,person,1885,280
38,9,person,1359,52
38,8,person,383,129
38,7,person,1716,275
38,6,person,1636,220
38,5,person,176,261
38,4,person,1707,278
38,3,person,272,188
38,2,person,119,280
38,1,person,1111,755
39,13,person,775,80
39,11,person,776,106
39,10,person,1885,280
39,9,person,1359,52
39,8,person,383,129
39,7,person,1716,275
39,6,person,1634,221
39,5,person,176,261
39,4,person,1707,278
39,3,person,272,188
39,2,person,119,280
39,1,person,1111,756
40,13,person,775,79
40,11,person,776,106
40,10,person,1885,280
40,9,person,1359,52
40,8,person,383,129
40,7,person,1716,275
40,6,person,1634,221
40,5,person,176,261
40,4,person,1707,278
40,3,person,272,187
40,2,person,119,280
40,1,person,1111,755
41,13,person,775,78
41,11,person,776,107
41,10,person,1885,280
41,9,person,1359,52
41,8,person,383,129
41,7,person,1716,275
41,6,person,1633,221
41,5,person,176,261
41,4,person,1707,278
41,3,person,272,188
41,2,person,119,280
41,1,person,1111,755
42,13,person,775,78
42,11,person,776,107
42,10,person,1885,280
42,9,person,1359,52
42,8,person,383,129
42,7,person,1716,275
42,6,person,1633,221
42,5,person,175,261
42,4,person,1707,278
42,3,person,272,188
42,2,person,119,280
42,1,person,1111,755
43,15,person,1655,218
43,13,person,775,80
43,11,person,776,106
43,10,person,1885,280
43,9,person,1359,52
43,8,person,383,129
43,7,person,1715,275
43,6,person,1632,221
43,5,person,175,261
43,4,person,1707,278
43,3,person,272,188
43,2,person,119,280
43,1,person,1110,754
44,13,person,775,81
44,11,person,776,105
44,10,person,1885,280
44,9,person,1359,52
44,8,person,383,129
44,7,person,1715,275
44,6,person,1634,221
44,5,person,176,261
44,4,person,1707,278
44,3,person,272,187
44,2,person,119,280
44,1,person,1110,754
45,13,person,776,84
45,11,person,776,103
45,10,person,1885,280
45,9,person,1359,52
45,8,person,383,129
45,7,person,1715,275
45,6,person,1633,221
45,5,person,176,261
45,4,person,1707,278
45,3,person,272,187
45,2,person,119,280
45,1,person,1111,754
46,13,person,776,85
46,11,person,777,101
46,10,person,1885,280
46,9,person,1359,52
46,8,person,383,129
46,7,person,1716,275
46,6,person,1633,221
46,5,person,176,261
46,4,person,1707,278
46,3,person,272,187
46,2,person,119,280
46,1,person,1111,753
47,15,person,1655,218
47,13,person,776,85
47,11,person,777,100
47,10,person,1885,280
47,9,person,1359,52
47,8,person,383,129
47,7,person,1716,275
47,6,person,1633,221
47,5,person,176,261
47,4,person,1707,278
47,3,person,272,187
47,2,person,119,280
47,1,person,1112,753
48,18,tennis racket,1159,793
48,15,person,1655,218
48,13,person,777,85
48,11,person,777,99
48,10,person,1885,280
48,9,person,1359,52
48,8,person,383,129
48,7,person,1716,275
48,6,person,1633,221
48,5,person,176,261
48,4,person,1707,278
48,3,person,272,187
48,2,person,119,280
48,1,person,1113,753
49,18,tennis racket,1159,793
49,15,person,1655,218
49,13,person,777,84
49,11,person,777,99
49,10,person,1885,280
49,9,person,1359,52
49,8,person,383,129
49,7,person,1716,275
49,6,person,1633,221
49,5,person,176,261
49,4,person,1707,278
49,3,person,272,187
49,2,person,119,280
49,1,person,1113,753
50,18,tennis racket,1156,797
50,17,tennis racket,1150,785
50,11,person,777,97
50,10,person,1885,280
50,9,person,1359,52
50,8,person,383,129
50,7,person,1716,275
50,6,person,1636,220
50,5,person,176,261
50,4,person,1707,278
50,3,person,272,187
50,2,person,119,280
50,1,person,1116,752
51,18,tennis racket,1156,799
51,17,tennis racket,1150,794
51,11,person,777,97
51,10,person,1885,280
51,9,person,1359,52
51,8,person,383,129
51,7,person,1716,275
51,6,person,1637,220
51,5,person,176,261
51,4,person,1707,278
51,3,person,272,187
51,2,person,119,280
51,1,person,1118,752
52,11,person,778,97
52,10,person,1885,280
52,9,person,1359,52
52,8,person,383,129
52,7,person,1716,275
52,6,person,1636,220
52,5,person,176,261
52,4,person,1707,278
52,3,person,272,187
52,2,person,119,280
52,1,person,1121,752
53,11,person,779,97
53,10,person,1885,280
53,9,person,1359,52
53,8,person,383,129
53,7,person,1716,275
53,6,person,1636,220
53,5,person,176,261
53,4,person,1707,278
53,3,person,272,187
53,2,person,119,280
53,1,person,1122,752
54,11,person,779,97
54,10,person,1885,280
54,9,person,1359,52
54,8,person,383,129
54,7,person,1716,275
54,6,person,1636,220
54,5,person,176,261
54,4,person,1707,278
54,3,person,272,187
54,2,person,119,280
54,1,person,1123,752
55,11,person,779,99
55,10,person,1885,280
55,9,person,1359,52
55,8,person,383,129
55,7,person,1716,275
55,6,person,1636,220
55,5,person,176,261
55,4,person,1707,278
55,3,person,272,187
55,2,person,119,280
55,1,person,1123,749
56,11,person,780,99
56,10,person,1885,280
56,9,person,1359,52
56,8,person,383,129
56,7,person,1716,275
56,6,person,1636,220
56,5,person,176,261
56,4,person,1707,278
56,3,person,272,187
56,2,person,119,280
56,1,person,1124,747
57,11,person,780,99
57,10,person,1885,280
57,9,person,1359,52
57,8,person,383,129
57,7,person,1716,275
57,6,person,1636,220
57,5,person,176,261
57,4,person,1707,278
57,3,person,272,187
57,2,person,119,280
57,1,person,1123,735
58,11,person,780,99
58,10,person,1885,280
58,9,person,1359,52
58,8,person,383,129
58,7,person,1716,275
58,6,person,1636,220
58,5,person,176,261
58,4,person,1707,278
58,3,person,272,187
58,2,person,119,280
58,1,person,1123,730
59,11,person,780,99
59,10,person,1885,280
59,9,person,1359,52
59,8,person,383,129
59,7,person,1716,275
59,6,person,1636,220
59,5,person,176,261
59,4,person,1707,278
59,3,person,272,187
59,2,person,119,280
59,1,person,1119,728
60,11,person,781,99
60,10,person,1885,280
60,9,person,1359,52
60,8,person,383,129
60,7,person,1716,275
60,6,person,1635,220
60,5,person,176,261
60,4,person,1707,278
60,3,person,272,187
60,2,person,119,280
60,1,person,1118,727
61,11,person,781,99
61,10,person,1885,280
61,9,person,1359,52
61,8,person,383,129
61,7,person,1716,275
61,6,person,1635,220
61,5,person,176,261
61,4,person,1707,278
61,3,person,272,187
61,2,person,119,280
61,1,person,1118,726
62,11,person,781,99
62,10,person,1885,280
62,9,person,1359,52
62,8,person,383,129
62,7,person,1719,276
62,6,person,1636,220
62,5,person,176,261
62,4,person,1707,278
62,3,person,272,187
62,2,person,119,280
63,11,person,781,99
63,10,person,1885,280
63,9,person,1359,52
63,8,person,383,129
63,7,person,1720,277
63,6,person,1637,220
63,5,person,176,261
63,4,person,1707,278
63,3,person,272,187
63,2,person,119,280
64,19,person,1171,729
64,11,person,781,99
64,10,person,1885,280
64,9,person,1359,52
64,8,person,383,129
64,7,person,1721,277
64,6,person,1637,220
64,5,person,176,261
64,4,person,1707,278
64,3,person,272,187
64,2,person,119,280
65,19,person,1180,728
65,11,person,781,99
65,10,person,1885,280
65,9,person,1359,52
65,8,person,383,129
65,7,person,1721,277
65,6,person,1636,220
65,5,person,176,261
65,4,person,1707,278
65,3,person,272,187
65,2,person,119,280
66,19,person,1183,728
66,11,person,781,99
66,10,person,1885,280
66,9,person,1359,52
66,8,person,383,129
66,7,person,1721,277
66,6,person,1636,220
66,5,person,176,261
66,4,person,1707,278
66,3,person,272,187
66,2,person,119,280
67,19,person,1178,722
67,11,person,781,99
67,10,person,1885,280
67,9,person,1359,52
67,8,person,383,129
67,7,person,1717,276
67,6,person,1635,221
67,5,person,176,261
67,4,person,1707,278
67,3,person,272,187
67,2,person,119,280
68,19,person,1176,719
68,11,person,781,99
68,10,person,1885,280
68,9,person,1359,52
68,8,person,383,129
68,7,person,1716,275
68,6,person,1634,221
68,5,person,176,261
68,4,person,1707,278
68,3,person,272,187
68,2,person,119,280
69,19,person,1174,720
69,11,person,781,99
69,10,person,1885,280
69,9,person,1359,52
69,8,person,383,129
69,7,person,1716,275
69,6,person,1634,221
69,5,person,176,261
69,4,person,1707,278
69,3,person,272,187
69,2,person,119,280
69,1,person,1120,716
70,19,person,1173,720
70,11,person,781,99
70,10,person,1885,280
70,9,person,1359,52
70,8,person,383,128
70,7,person,1716,275
70,6,person,1634,221
70,5,person,176,261
70,4,person,1707,278
70,3,person,272,187
70,2,person,119,280
70,1,person,1120,716
71,11,person,781,99
71,10,person,1885,280
71,9,person,1359,52
71,8,person,383,128
71,7,person,1716,275
71,6,person,1634,221
71,5,person,176,261
71,4,person,1707,278
71,3,person,272,187
71,2,person,119,280
71,1,person,1136,715
72,11,person,781,99
72,10,person,1885,280
72,9,person,1359,52
72,8,person,383,128
72,7,person,1716,275
72,6,person,1634,221
72,5,person,176,261
72,4,person,1707,278
72,3,person,272,187
72,2,person,119,280
72,1,person,1143,715
73,11,person,781,100
73,10,person,1885,280
73,9,person,1359,52
73,8,person,383,128
73,7,person,1716,275
73,6,person,1634,221
73,5,person,176,261
73,4,person,1707,278
73,3,person,272,187
73,2,person,119,280
73,1,person,1145,715
74,11,person,782,100
74,10,person,1885,280
74,9,person,1359,52
74,8,person,383,129
74,7,person,1715,275
74,6,person,1633,221
74,5,person,176,261
74,4,person,1707,278
74,3,person,272,187
74,2,person,119,280
74,1,person,1138,715
75,11,person,782,100
75,10,person,1885,280
75,9,person,1359,52
75,8,person,383,129
75,7,person,1715,275
75,6,person,1633,221
75,5,person,176,261
75,4,person,1707,278
75,3,person,272,187
75,2,person,119,280
75,1,person,1136,715
76,11,person,782,100
76,10,person,1885,280
76,9,person,1359,52
76,8,person,383,129
76,7,person,1715,275
76,6,person,1633,221
76,5,person,176,261
76,4,person,1707,278
76,3,person,272,187
76,2,person,119,280
76,1,person,1135,712
77,21,person,1655,218
77,11,person,782,100
77,10,person,1885,280
77,9,person,1359,52
77,8,person,383,129
77,7,person,1716,275
77,6,person,1633,221
77,5,person,176,261
77,4,person,1707,278
77,3,person,272,187
77,2,person,119,280
77,1,person,1134,711
78,21,person,1655,218
78,11,person,782,100
78,10,person,1885,280
78,9,person,1359,52
78,8,person,383,129
78,7,person,1716,275
78,6,person,1633,221
78,5,person,176,261
78,4,person,1707,278
78,3,person,272,187
78,2,person,119,280
78,1,person,1134,710
79,11,person,782,100
79,10,person,1885,280
79,9,person,1359,52
79,8,person,383,129
79,7,person,1716,275
79,6,person,1634,221
79,5,person,176,261
79,4,person,1707,278
79,3,person,272,187
79,2,person,119,280
79,1,person,1132,710
80,11,person,782,100
80,10,person,1885,280
80,9,person,1359,52
80,8,person,383,129
80,7,person,1716,275
80,6,person,1634,220
80,5,person,176,261
80,4,person,1707,278
80,3,person,272,187
80,2,person,119,280
80,1,person,1131,710
81,11,person,782,100
81,10,person,1885,280
81,9,person,1359,52
81,8,person,383,129
81,7,person,1716,275
81,6,person,1634,221
81,5,person,176,261
81,4,person,1707,278
81,3,person,272,187
81,2,person,119,280
81,1,person,1130,711
82,11,person,783,100
82,10,person,1885,280
82,9,person,1359,52
82,8,person,383,128
82,7,person,1716,275
82,6,person,1633,221
82,5,person,176,261
82,4,person,1707,278
82,3,person,272,187
82,2,person,119,280
82,1,person,1132,709
83,11,person,783,100
83,10,person,1885,280
83,9,person,1359,51
83,8,person,383,128
83,7,person,1716,275
83,6,person,1633,221
83,5,person,176,261
83,4,person,1707,278
83,3,person,272,187
83,2,person,119,280
83,1,person,1133,708
84,21,person,1655,219
84,11,person,783,100
84,10,person,1885,280
84,9,person,1359,51
84,8,person,383,128
84,7,person,1716,275
84,6,person,1632,221
84,5,person,176,261
84,4,person,1707,277
84,3,person,272,187
84,2,person,119,280
84,1,person,1133,707
85,21,person,1655,219
85,11,person,783,101
85,10,person,1885,280
85,9,person,1359,51
85,8,person,383,128
85,7,person,1721,274
85,6,person,1632,221
85,5,person,176,261
85,4,person,1711,277
85,3,person,273,187
85,2,person,119,280
85,1,person,1133,706
86,21,person,1654,219
86,11,person,783,101
86,10,person,1885,280
86,9,person,1359,51
86,8,person,383,128
86,7,person,1717,275
86,6,person,1632,222
86,5,person,176,261
86,3,person,273,187
86,2,person,119,280
86,1,person,1134,706
87,21,person,1654,219
87,11,person,784,101
87,10,person,1885,280
87,9,person,1359,51
87,8,person,383,128
87,7,person,1715,275
87,6,person,1632,222
87,5,person,176,261
87,3,person,273,187
87,2,person,119,280
87,1,person,1134,706
88,21,person,1654,219
88,11,person,784,101
88,10,person,1885,280
88,9,person,1359,51
88,8,person,383,128
88,7,person,1715,275
88,6,person,1631,222
88,5,person,176,261
88,3,person,273,187
88,2,person,119,280
88,1,person,1134,706
89,21,person,1652,220
89,11,person,784,102
89,10,person,1885,280
89,9,person,1359,52
89,8,person,383,128
89,7,person,1715,275
89,6,person,1631,222
89,5,person,176,261
89,3,person,272,187
89,2,person,119,280
89,1,person,1133,706
90,21,person,1652,220
90,11,person,784,102
90,10,person,1885,280
90,9,person,1359,52
90,8,person,383,128
90,7,person,1715,275
90,6,person,1631,222
90,5,person,176,261
90,3,person,272,187
90,2,person,119,280
90,1,person,1133,706
91,21,person,1651,220
91,11,person,785,102
91,10,person,1885,280
91,9,person,1359,52
91,8,person,383,128
91,7,person,1713,275
91,6,person,1630,223
91,5,person,176,261
91,3,person,272,187
91,2,person,119,280
91,1,person,1133,706
92,25,sports ball,1112,313
92,21,person,1651,220
92,11,person,785,102
92,10,person,1885,280
92,9,person,1359,52
92,8,person,383,128
92,7,person,1713,275
92,6,person,1630,223
92,5,person,176,261
92,3,person,272,187
92,2,person,119,280
92,1,person,1133,706
93,25,sports ball,1112,313
93,21,person,1651,221
93,11,person,785,102
93,10,person,1885,280
93,9,person,1359,52
93,8,person,383,128
93,7,person,1713,275
93,6,person,1630,223
93,5,person,176,261
93,3,person,272,187
93,2,person,119,280
93,1,person,1133,706
94,21,person,1651,221
94,11,person,785,102
94,10,person,1885,280
94,9,person,1359,52
94,8,person,383,128
94,7,person,1713,275
94,6,person,1630,223
94,5,person,176,261
94,3,person,272,187
94,2,person,119,280
94,1,person,1129,705
95,21,person,1651,221
95,11,person,785,102
95,10,person,1885,280
95,9,person,1359,52
95,8,person,383,128
95,7,person,1713,275
95,6,person,1630,223
95,5,person,176,261
95,3,person,272,187
95,2,person,119,280
95,1,person,1128,705
96,21,person,1651,221
96,11,person,785,102
96,10,person,1885,280
96,9,person,1359,52
96,8,person,383,128
96,7,person,1713,275
96,6,person,1630,223
96,5,person,176,261
96,3,person,272,187
96,2,person,119,280
96,1,person,1123,704
97,21,person,1651,221
97,11,person,785,102
97,10,person,1885,280
97,9,person,1359,52
97,8,person,383,128
97,7,person,1713,275
97,6,person,1630,223
97,5,person,176,261
97,3,person,272,187
97,2,person,119,280
97,1,person,1120,703
98,21,person,1651,220
98,11,person,785,102
98,10,person,1885,280
98,9,person,1359,52
98,8,person,383,128
98,7,person,1713,275
98,6,person,1630,223
98,5,person,176,261
98,3,person,272,187
98,2,person,119,280
98,1,person,1117,704
99,21,person,1653,220
99,11,person,785,101
99,10,person,1885,280
99,9,person,1359,51
99,8,person,383,128
99,7,person,1714,275
99,6,person,1631,223
99,5,person,176,261
99,3,person,272,187
99,2,person,119,280
99,1,person,1103,700
100,21,person,1654,220
100,11,person,785,101
100,10,person,1885,280
100,9,person,1359,51
100,8,person,383,128
100,7,person,1714,275
100,6,person,1631,223
100,5,person,176,261
100,3,person,272,187
100,2,person,119,280
100,1,person,1098,699
101,21,person,1654,220
101,11,person,785,102
101,10,person,1885,280
101,9,person,1359,52
101,8,person,383,128
101,7,person,1713,275
101,6,person,1632,223
101,5,person,176,261
101,3,person,272,187
101,2,person,119,280
101,1,person,1109,706
102,21,person,1654,220
102,11,person,785,102
102,10,person,1885,280
102,9,person,1358,52
102,8,person,383,128
102,7,person,1713,275
102,6,person,1632,223
102,5,person,176,261
102,3,person,272,187
102,2,person,119,280
102,1,person,1113,709
103,21,person,1654,220
103,11,person,785,102
103,10,person,1885,280
103,9,person,1358,52
103,8,person,383,128
103,7,person,1713,275
103,6,person,1632,223
103,5,person,176,261
103,3,person,272,187
103,2,person,119,280
103,1,person,1115,709
104,21,person,1653,220
104,11,person,786,102
104,10,person,1885,280
104,9,person,1358,52
104,8,person,383,128
104,7,person,1713,275
104,6,person,1631,223
104,5,person,176,261
104,3,person,272,187
104,2,person,119,280
104,1,person,1115,709
105,21,person,1652,220
105,11,person,786,102
105,10,person,1885,280
105,9,person,1358,52
105,8,person,383,128
105,7,person,1712,275
105,6,person,1631,223
105,5,person,176,261
105,3,person,272,187
105,2,person,119,280
105,1,person,1116,709
106,21,person,1652,220
106,11,person,787,102
106,10,person,1885,280
106,9,person,1358,52
106,8,person,383,128
106,7,person,1713,275
106,6,person,1631,223
106,5,person,175,261
106,3,person,272,187
106,2,person,119,280
106,1,person,1114,704
107,21,person,1652,221
107,11,person,787,102
107,10,person,1885,280
107,9,person,1358,52
107,8,person,383,128
107,7,person,1713,275
107,6,person,1631,223
107,5,person,175,261
107,3,person,272,187
107,2,person,119,280
107,1,person,1114,702
108,21,person,1652,221
108,11,person,788,102
108,10,person,1885,280
108,9,person,1358,52
108,8,person,383,128
108,7,person,1713,275
108,6,person,1630,223
108,5,person,175,261
108,3,person,272,187
108,2,person,119,280
108,1,person,1118,681
109,21,person,1651,221
109,11,person,789,102
109,10,person,1885,280
109,9,person,1358,52
109,8,person,383,128
109,7,person,1712,275
109,6,person,1630,223
109,5,person,175,261
109,3,person,272,187
109,2,person,119,280
109,1,person,1119,673
110,21,person,1651,221
110,11,person,789,102
110,10,person,1885,280
110,9,person,1358,52
110,8,person,383,128
110,7,person,1712,275
110,6,person,1630,223
110,5,person,175,261
110,3,person,272,187
110,2,person,119,280
110,1,person,1120,670
111,21,person,1651,221
111,11,person,789,102
111,10,person,1885,280
111,9,person,1358,52
111,8,person,383,128
111,7,person,1712,275
111,6,person,1629,224
111,5,person,175,261
111,3,person,272,187
111,2,person,119,280
111,1,person,1141,654
112,21,person,1651,221
112,11,person,789,102
112,10,person,1885,280
112,9,person,1359,52
112,8,person,383,128
112,7,person,1712,275
112,6,person,1630,224
112,5,person,175,261
112,3,person,272,187
112,2,person,119,280
112,1,person,1149,648
113,21,person,1653,220
113,11,person,789,102
113,10,person,1885,280
113,9,person,1359,52
113,8,person,383,128
113,7,person,1712,275
113,6,person,1631,223
113,5,person,175,261
113,3,person,272,187
113,2,person,119,280
113,1,person,1153,642
114,21,person,1654,220
114,11,person,789,103
114,10,person,1885,280
114,9,person,1359,52
114,8,person,383,128
114,7,person,1712,275
114,6,person,1632,223
114,5,person,175,261
114,3,person,272,187
